date,age,confirmed,deceased
"2020-06-11",70,787,81
"2020-06-11",80,519,136
"2020-06-12",0,168,0
"2020-06-12",10,680,0
"2020-06-12",20,3234,0
"2020-06-12",30,1353,2
"2020-06-12",40,1575,3
"2020-06-12",50,2154,15
"2020-06-12",60,1530,40
"2020-06-12",70,789,81
"2020-06-12",80,520,136
"2020-06-13",0,168,0
"2020-06-13",10,681,0
"2020-06-13",20,3243,0
"2020-06-13",30,1354,2
"2020-06-13",40,1578,3
"2020-06-13",50,2163,15
"2020-06-13",60,1538,40
"2020-06-13",70,796,81
"2020-06-13",80,530,136
"2020-06-14",0,168,0
"2020-06-14",10,681,0
"2020-06-14",20,3251,0
"2020-06-14",30,1357,2
"2020-06-14",40,1584,3
"2020-06-14",50,2170,15
"2020-06-14",60,1546,40
"2020-06-14",70,797,81
"2020-06-14",80,531,136
"2020-06-15",0,170,0
"2020-06-15",10,681,0
"2020-06-15",20,3256,0
"2020-06-15",30,1362,2
"2020-06-15",40,1595,3
"2020-06-15",50,2176,15
"2020-06-15",60,1550,40
"2020-06-15",70,799,81
"2020-06-15",80,532,136
"2020-06-16",0,172,0
"2020-06-16",10,682,0
"2020-06-16",20,3259,0
"2020-06-16",30,1366,2
"2020-06-16",40,1599,3
